1 -2  1 0
437 -1.9970249  0.99924185 124
438 -1.9970317  0.99924358 124
439 -1.9970384  0.9992453 124
440 -1.9970452  0.99924702 124
441 -1.9970519  0.99924872 124
442 -1.9970585  0.99925042 124
443 -1.9970652  0.99925212 124
444 -1.9970718  0.9992538 124
445 -1.9970784  0.99925548 124
446 -1.9970849  0.99925715 124
447 -1.9970914  0.99925881 124
448 -1.9970979  0.99926046 124
449 -1.9971044  0.99926211 124
450 -1.9971108  0.99926375 124
451 -1.9971172  0.99926538 124
452 -1.9971236  0.99926701 124
453 -1.99713  0.99926863 124
454 -1.9971258  0.99926762 126
455 -1.9971321  0.99926923 126
456 -1.9971384  0.99927083 126
457 -1.9971447  0.99927243 126
458 -1.9971509  0.99927402 126
459 -1.9971571  0.9992756 126
460 -1.9971633  0.99927717 126
461 -1.9971695  0.99927874 126
462 -1.9971756  0.9992803 126
463 -1.9971817  0.99928186 126
464 -1.9971878  0.99928341 126
465 -1.9971784  0.9992811 127
466 -1.9971715  0.9992794 129
467 -1.9971347  0.99927024 129
468 -1.9970926  0.99925935 133
469 -1.997092  0.99925922 134
470 -1.9970981  0.9992608 134
471 -1.9971043  0.99926237 134
472 -1.9971017  0.99926176 136
473 -1.9970909  0.99925906 137
474 -1.9970936  0.99925978 138
475 -1.9970997  0.99926134 138
476 -1.9971058  0.99926289 138
477 -1.9971119  0.99926444 138
478 -1.9971179  0.99926598 138
479 -1.997124  0.99926751 138
480 -1.9971299  0.99926904 138
481 -1.9971359  0.99927056 138
482 -1.9971419  0.99927207 138
483 -1.9971478  0.99927358 138
484 -1.9971537  0.99927508 138
485 -1.9971595  0.99927657 138
486 -1.9971654  0.99927806 138
487 -1.9971712  0.99927954 138
488 -1.9971401  0.9992718 139
489 -1.9971051  0.99926306 139
490 -1.9970823  0.9992574 140
491 -1.9970882  0.99925891 140
492 -1.9970942  0.99926042 140
493 -1.9971001  0.99926192 140
494 -1.9971059  0.99926341 140
495 -1.9971118  0.9992649 140
496 -1.9971176  0.99926638 140
497 -1.9971152  0.99926582 142
498 -1.997121  0.99926729 142
499 -1.9971268  0.99926876 142
500 -1.9971325  0.99927022 142
501 -1.9971383  0.99927168 142
502 -1.997144  0.99927313 142
503 -1.9971497  0.99927458 142
504 -1.9971553  0.99927602 142
505 -1.9971609  0.99927745 142
506 -1.9971666  0.99927888 142
507 -1.9971721  0.9992803 142
508 -1.9971777  0.99928172 142
509 -1.9971775  0.99928168 143
510 -1.9971812  0.99928265 144
511 -1.9971867  0.99928405 144
512 -1.9971922  0.99928545 144
513 -1.9971977  0.99928684 144
514 -1.9971964  0.99928653 146
515 -1.9972018  0.99928791 146
516 -1.9972072  0.99928929 146
517 -1.9972126  0.99929067 146
518 -1.997218  0.99929204 146
519 -1.9972234  0.9992934 146
520 -1.9972287  0.99929476 146
521 -1.997234  0.99929611 146
522 -1.9972347  0.99929631 147
523 -1.997218  0.99929216 148
524 -1.9972233  0.99929351 148
525 -1.9972286  0.99929486 148
526 -1.9972339  0.9992962 148
527 -1.9972391  0.99929753 148
528 -1.9972352  0.99929657 150
529 -1.9972404  0.9992979 150
530 -1.9972456  0.99929922 150
531 -1.9972508  0.99930054 150
532 -1.9972517  0.9993008 152
533 -1.9972569  0.99930211 152
534 -1.997262  0.99930342 152
535 -1.9972671  0.99930472 152
536 -1.9972722  0.99930602 152
537 -1.9972773  0.99930731 152
538 -1.9972824  0.9993086 152
539 -1.9972874  0.99930988 152
540 -1.9972925  0.99931116 152
541 -1.9972975  0.99931243 152
542 -1.9973024  0.9993137 152
543 -1.9973074  0.99931496 152
544 -1.9973124  0.99931622 152
545 -1.9973173  0.99931748 152
546 -1.9973222  0.99931873 152
547 -1.9973271  0.99931997 152
548 -1.997332  0.99932121 152
549 -1.9973368  0.99932245 152
550 -1.9973417  0.99932368 152
551 -1.9973465  0.99932491 152
552 -1.9973513  0.99932613 152
553 -1.9973561  0.99932735 152
554 -1.9973472  0.99932514 154
555 -1.9973519  0.99932635 154
556 -1.9973567  0.99932756 154
557 -1.9973614  0.99932877 154
