1 -2  1 0
4590 -1.9970564  0.9992476 1358
4591 -1.9970571  0.99924776 1358
4592 -1.9970577  0.99924793 1358
4593 -1.9970584  0.99924809 1358
4594 -1.997059  0.99924826 1358
4595 -1.9970596  0.99924842 1358
4596 -1.9970603  0.99924858 1358
4597 -1.9970609  0.99924875 1358
4598 -1.9970564  0.99924763 1361
4599 -1.9970527  0.99924671 1361
4600 -1.9970498  0.99924597 1363
4601 -1.9970461  0.99924505 1363
4602 -1.9970467  0.9992452 1364
4603 -1.9970473  0.99924536 1364
4604 -1.9970479  0.99924553 1364
4605 -1.9970486  0.99924569 1364
4606 -1.9970492  0.99924586 1364
4607 -1.9970499  0.99924602 1364
4608 -1.9970505  0.99924618 1364
4609 -1.9970511  0.99924635 1364
4610 -1.9970518  0.99924651 1364
4611 -1.9970524  0.99924667 1364
4612 -1.9970531  0.99924684 1364
4613 -1.9970537  0.999247 1364
4614 -1.9970543  0.99924716 1364
4615 -1.997055  0.99924733 1364
4616 -1.9970556  0.99924749 1364
4617 -1.9970563  0.99924765 1364
4618 -1.9970569  0.99924782 1364
4619 -1.9970575  0.99924798 1364
4620 -1.9970582  0.99924814 1364
4621 -1.9970588  0.9992483 1364
4622 -1.9970594  0.99924847 1364
4623 -1.9970601  0.99924863 1364
4624 -1.9970607  0.99924879 1364
4625 -1.9970614  0.99924895 1364
4626 -1.997062  0.99924912 1364
4627 -1.9970626  0.99924928 1364
4628 -1.9970633  0.99924944 1364
4629 -1.9970618  0.99924908 1366
4630 -1.9970624  0.99924924 1366
4631 -1.9970631  0.99924941 1366
4632 -1.997062  0.99924914 1368
4633 -1.9970626  0.9992493 1368
4634 -1.9970632  0.99924946 1368
4635 -1.9970639  0.99924962 1368
4636 -1.9970645  0.99924978 1368
4637 -1.9970651  0.99924995 1368
4638 -1.9970658  0.99925011 1368
4639 -1.9970664  0.99925027 1368
4640 -1.997067  0.99925043 1368
4641 -1.9970652  0.99924996 1372
4642 -1.9970658  0.99925012 1372
4643 -1.9970664  0.99925029 1372
4644 -1.997067  0.99925044 1374
4645 -1.9970677  0.9992506 1374
4646 -1.9970683  0.99925076 1374
4647 -1.9970689  0.99925093 1374
4648 -1.9970696  0.99925109 1374
4649 -1.9970702  0.99925125 1374
4650 -1.9970708  0.99925141 1374
4651 -1.9970682  0.99925077 1376
4652 -1.9970689  0.99925093 1376
4653 -1.9970695  0.99925109 1376
4654 -1.9970701  0.99925125 1376
4655 -1.9970692  0.99925102 1377
4656 -1.9970655  0.99925011 1378
4657 -1.9970662  0.99925027 1378
4658 -1.9970668  0.99925043 1378
4659 -1.9970674  0.9992506 1378
4660 -1.9970681  0.99925076 1378
4661 -1.9970687  0.99925092 1378
4662 -1.9970693  0.99925108 1378
4663 -1.99707  0.99925124 1378
4664 -1.9970706  0.9992514 1378
4665 -1.9970712  0.99925156 1378
4666 -1.9970718  0.99925172 1378
4667 -1.9970719  0.99925173 1379
4668 -1.9970682  0.99925082 1379
4669 -1.9970656  0.99925017 1380
4670 -1.9970662  0.99925033 1380
4671 -1.9970649  0.99925001 1382
4672 -1.9970655  0.99925017 1382
4673 -1.9970662  0.99925033 1382
4674 -1.9970668  0.99925049 1382
4675 -1.9970674  0.99925065 1382
4676 -1.997068  0.99925081 1382
4677 -1.9970687  0.99925097 1382
4678 -1.9970693  0.99925113 1382
4679 -1.9970688  0.99925101 1384
4680 -1.997069  0.99925105 1386
4681 -1.9970666  0.99925046 1387
4682 -1.9970629  0.99924955 1387
4683 -1.9970595  0.99924868 1389
4684 -1.9970581  0.99924835 1390
4685 -1.9970587  0.99924851 1390
4686 -1.9970594  0.99924867 1390
4687 -1.99706  0.99924883 1390
4688 -1.9970606  0.99924899 1390
4689 -1.9970612  0.99924915 1390
4690 -1.9970619  0.99924931 1390
4691 -1.9970625  0.99924947 1390
4692 -1.9970631  0.99924963 1390
4693 -1.9970637  0.99924979 1390
4694 -1.9970644  0.99924995 1390
4695 -1.997065  0.99925011 1390
4696 -1.9970655  0.99925024 1391
4697 -1.9970619  0.99924934 1391
4698 -1.997061  0.99924912 1392
4699 -1.9970616  0.99924928 1392
4700 -1.9970622  0.99924944 1392
4701 -1.9970629  0.9992496 1392
4702 -1.9970603  0.99924897 1393
4703 -1.9970567  0.99924807 1393
4704 -1.9970541  0.99924742 1394
4705 -1.9970547  0.99924758 1394
4706 -1.9970533  0.99924722 1396
4707 -1.9970539  0.99924738 1396
4708 -1.9970545  0.99924754 1396
4709 -1.9970552  0.9992477 1396
4710 -1.9970558  0.99924786 1396
4711 -1.9970564  0.99924802 1396
4712 -1.997057  0.99924818 1396
4713 -1.9970577  0.99924834 1396
4714 -1.9970563  0.999248 1397
4715 -1.9970527  0.9992471 1397
4716 -1.9970529  0.99924715 1398
4717 -1.9970535  0.99924731 1398
4718 -1.9970541  0.99924747 1398
4719 -1.9970548  0.99924763 1398
4720 -1.9970531  0.99924723 1399
4721 -1.997048  0.99924557 1400
4722 -1.997044  0.99924449 1401
4723 -1.9970404  0.99924359 1401
4724 -1.9970368  0.99924269 1401
4725 -1.9970357  0.99924242 1402
4726 -1.9970363  0.99924258 1402
4727 -1.9970369  0.99924274 1402
4728 -1.9970376  0.9992429 1402
4729 -1.9970382  0.99924306 1402
4730 -1.9970388  0.99924322 1402
4731 -1.9970394  0.99924338 1402
4732 -1.9970396  0.99924343 1403
4733 -1.9970385  0.99924315 1404
4734 -1.9970384  0.99924312 1405
4735 -1.9970348  0.99924223 1405
4736 -1.9970312  0.99924133 1405
4737 -1.997029  0.99924078 1406
4738 -1.9970296  0.99924094 1406
4739 -1.9970302  0.9992411 1406
4740 -1.9970309  0.99924126 1406
4741 -1.9970315  0.99924142 1406
4742 -1.9970321  0.99924158 1406
4743 -1.9970327  0.99924174 1406
4744 -1.9970334  0.9992419 1406
4745 -1.997034  0.99924206 1406
4746 -1.9970319  0.99924153 1407
4747 -1.9970301  0.9992411 1408
4748 -1.9970307  0.99924126 1408
4749 -1.9970314  0.99924142 1408
4750 -1.997032  0.99924158 1408
4751 -1.9970326  0.99924174 1408
4752 -1.9970332  0.9992419 1408
4753 -1.9970335  0.99924198 1409
4754 -1.997033  0.99924185 1411
4755 -1.9970295  0.99924096 1411
4756 -1.9970297  0.99924104 1412
4757 -1.9970304  0.9992412 1412
4758 -1.997031  0.99924136 1412
4759 -1.9970316  0.99924152 1412
4760 -1.9970322  0.99924168 1412
4761 -1.9970329  0.99924183 1412
4762 -1.9970335  0.99924199 1412
4763 -1.9970341  0.99924215 1412
4764 -1.9970347  0.99924231 1412
4765 -1.9970354  0.99924247 1412
4766 -1.997036  0.99924263 1412
4767 -1.9970366  0.99924279 1412
4768 -1.9970372  0.99924295 1412
4769 -1.9970378  0.99924311 1412
4770 -1.9970385  0.99924327 1412
4771 -1.9970382  0.99924321 1413
4772 -1.9970347  0.99924232 1413
4773 -1.9970311  0.99924143 1413
4774 -1.997027  0.99924041 1416
4775 -1.9970276  0.99924057 1416
4776 -1.9970282  0.99924073 1416
4777 -1.9970288  0.99924089 1416
4778 -1.9970295  0.99924104 1416
4779 -1.9970301  0.9992412 1416
4780 -1.9970307  0.99924136 1416
4781 -1.9970313  0.99924152 1416
4782 -1.997032  0.99924168 1416
4783 -1.9970326  0.99924184 1416
4784 -1.9970332  0.999242 1416
4785 -1.9970338  0.99924216 1416
4786 -1.9970344  0.99924231 1416
4787 -1.9970351  0.99924247 1416
4788 -1.9970357  0.99924263 1416
4789 -1.9970363  0.99924279 1416
4790 -1.9970346  0.99924233 1419
4791 -1.9970345  0.9992423 1420
4792 -1.9970351  0.99924246 1420
4793 -1.9970355  0.99924256 1421
4794 -1.9970319  0.99924168 1421
4795 -1.9970324  0.99924181 1422
4796 -1.997033  0.99924196 1422
4797 -1.9970337  0.99924212 1422
4798 -1.9970343  0.99924228 1422
4799 -1.9970349  0.99924244 1422
4800 -1.9970316  0.9992416 1423
4801 -1.9970273  0.99924037 1427
4802 -1.9970259  0.99924002 1428
4803 -1.9970265  0.99924018 1428
4804 -1.9970271  0.99924034 1428
4805 -1.9970277  0.99924049 1428
4806 -1.9970284  0.99924065 1428
4807 -1.997029  0.99924081 1428
4808 -1.9970296  0.99924097 1428
4809 -1.9970302  0.99924113 1428
4810 -1.9970308  0.99924128 1428
4811 -1.9970315  0.99924144 1428
4812 -1.9970321  0.9992416 1428
4813 -1.9970327  0.99924176 1428
4814 -1.9970333  0.99924191 1428
4815 -1.9970339  0.99924207 1428
4816 -1.9970345  0.99924223 1428
4817 -1.9970313  0.99924143 1431
4818 -1.9970318  0.99924156 1432
4819 -1.9970324  0.99924172 1432
4820 -1.9970331  0.99924187 1432
4821 -1.9970337  0.99924203 1432
4822 -1.9970343  0.99924219 1432
4823 -1.9970349  0.99924234 1432
4824 -1.9970355  0.9992425 1432
4825 -1.9970361  0.99924266 1432
4826 -1.9970367  0.99924281 1432
4827 -1.9970351  0.99924236 1437
4828 -1.9970339  0.99924207 1439
4829 -1.9970314  0.99924145 1440
4830 -1.997032  0.99924161 1440
4831 -1.9970327  0.99924176 1440
4832 -1.9970333  0.99924192 1440
4833 -1.9970339  0.99924208 1440
4834 -1.9970345  0.99924223 1440
4835 -1.9970351  0.99924239 1440
4836 -1.9970357  0.99924255 1440
4837 -1.9970363  0.9992427 1440
4838 -1.9970369  0.99924286 1440
4839 -1.9970366  0.99924277 1441
4840 -1.997033  0.99924189 1441
4841 -1.9970295  0.99924102 1441
4842 -1.9970289  0.99924087 1442
4843 -1.9970296  0.99924103 1442
4844 -1.9970302  0.99924119 1442
4845 -1.9970308  0.99924134 1442
4846 -1.9970314  0.9992415 1442
4847 -1.9970317  0.99924157 1443
4848 -1.9970323  0.99924173 1444
4849 -1.9970329  0.99924189 1444
4850 -1.9970335  0.99924204 1444
4851 -1.9970341  0.9992422 1444
4852 -1.9970347  0.99924236 1444
4853 -1.9970353  0.99924251 1444
4854 -1.997036  0.99924267 1444
4855 -1.9970344  0.99924228 1446
4856 -1.997035  0.99924244 1446
4857 -1.9970352  0.9992425 1447
4858 -1.9970317  0.99924162 1447
4859 -1.9970287  0.99924088 1450
4860 -1.9970293  0.99924103 1450
4861 -1.99703  0.99924119 1450
4862 -1.9970285  0.99924084 1452
4863 -1.997029  0.99924095 1454
4864 -1.9970296  0.9992411 1454
4865 -1.9970302  0.99924126 1454
4866 -1.9970308  0.99924141 1454
4867 -1.9970314  0.99924157 1454
4868 -1.997032  0.99924173 1454
4869 -1.9970326  0.99924188 1454
4870 -1.9970332  0.99924204 1454
4871 -1.9970338  0.99924219 1454
4872 -1.9970344  0.99924235 1454
4873 -1.9970351  0.9992425 1454
4874 -1.9970343  0.99924233 1456
4875 -1.997035  0.99924249 1456
4876 -1.9970356  0.99924264 1456
4877 -1.9970362  0.9992428 1456
4878 -1.9970368  0.99924295 1456
4879 -1.9970349  0.99924248 1457
4880 -1.9970314  0.99924161 1457
4881 -1.9970309  0.99924148 1458
4882 -1.9970315  0.99924164 1458
4883 -1.9970321  0.9992418 1458
4884 -1.9970327  0.99924195 1458
4885 -1.9970333  0.99924211 1458
4886 -1.9970339  0.99924226 1458
4887 -1.9970345  0.99924242 1458
4888 -1.9970351  0.99924257 1458
4889 -1.9970357  0.99924273 1458
4890 -1.9970363  0.99924288 1458
4891 -1.9970369  0.99924304 1458
4892 -1.9970365  0.99924292 1459
4893 -1.9970335  0.99924219 1461
4894 -1.9970338  0.99924225 1462
4895 -1.9970344  0.99924241 1462
4896 -1.997035  0.99924256 1462
4897 -1.9970356  0.99924272 1462
4898 -1.9970352  0.99924263 1463
4899 -1.9970318  0.99924177 1463
4900 -1.9970314  0.99924169 1465
4901 -1.997031  0.99924157 1466
4902 -1.9970316  0.99924173 1466
4903 -1.9970275  0.99924073 1468
4904 -1.9970201  0.99923888 1469
4905 -1.99702  0.99923886 1470
4906 -1.9970206  0.99923901 1470
4907 -1.9970212  0.99923917 1470
4908 -1.9970219  0.99923932 1470
4909 -1.9970225  0.99923948 1470
4910 -1.9970231  0.99923963 1470
4911 -1.9970237  0.99923979 1470
4912 -1.9970243  0.99923994 1470
4913 -1.9970249  0.9992401 1470
4914 -1.9970255  0.99924025 1470
4915 -1.9970261  0.9992404 1470
4916 -1.9970267  0.99924056 1470
4917 -1.9970273  0.99924071 1470
4918 -1.9970279  0.99924087 1470
4919 -1.9970285  0.99924102 1470
4920 -1.9970283  0.99924098 1472
4921 -1.9970265  0.99924054 1473
4922 -1.9970231  0.99923967 1473
4923 -1.9970211  0.99923919 1474
4924 -1.9970185  0.99923854 1476
4925 -1.9970191  0.99923869 1476
4926 -1.9970197  0.99923885 1476
4927 -1.9970203  0.999239 1476
4928 -1.9970209  0.99923916 1476
4929 -1.9970215  0.99923931 1476
4930 -1.9970221  0.99923947 1476
4931 -1.9970227  0.99923962 1476
4932 -1.9970233  0.99923977 1476
4933 -1.9970216  0.99923935 1477
4934 -1.9970215  0.99923932 1478
4935 -1.9970221  0.99923948 1478
4936 -1.9970227  0.99923963 1478
4937 -1.9970226  0.9992396 1480
4938 -1.9970231  0.99923973 1482
4939 -1.9970237  0.99923988 1482
4940 -1.9970243  0.99924003 1482
4941 -1.9970249  0.99924019 1482
4942 -1.9970254  0.99924031 1484
4943 -1.997026  0.99924046 1484
4944 -1.9970266  0.99924062 1484
4945 -1.9970272  0.99924077 1484
4946 -1.9970278  0.99924092 1484
4947 -1.9970284  0.99924108 1484
4948 -1.997029  0.99924123 1484
4949 -1.9970296  0.99924138 1484
4950 -1.9970302  0.99924154 1484
4951 -1.9970308  0.99924169 1484
4952 -1.9970314  0.99924184 1484
4953 -1.997032  0.999242 1484
4954 -1.9970326  0.99924215 1484
4955 -1.9970332  0.9992423 1484
4956 -1.9970338  0.99924246 1484
4957 -1.9970344  0.99924261 1484
4958 -1.997035  0.99924276 1484
4959 -1.9970342  0.99924257 1485
4960 -1.9970307  0.99924171 1485
4961 -1.9970278  0.99924099 1486
4962 -1.9970284  0.99924115 1486
4963 -1.997029  0.9992413 1486
4964 -1.9970277  0.99924083 1489
4965 -1.9970233  0.99923972 1491
4966 -1.9970222  0.99923946 1493
4967 -1.9970203  0.99923898 1494
4968 -1.9970209  0.99923914 1494
4969 -1.9970215  0.99923929 1494
4970 -1.9970221  0.99923944 1494
4971 -1.9970222  0.99923948 1495
4972 -1.9970188  0.99923863 1495
4973 -1.9970167  0.99923809 1496
4974 -1.9970173  0.99923825 1496
4975 -1.9970179  0.9992384 1496
4976 -1.9970185  0.99923855 1496
4977 -1.9970155  0.99923781 1497
4978 -1.9970132  0.99923724 1498
4979 -1.9970138  0.99923739 1498
4980 -1.9970144  0.99923755 1498
4981 -1.997015  0.9992377 1498
4982 -1.9970156  0.99923785 1498
4983 -1.9970162  0.999238 1498
4984 -1.9970168  0.99923816 1498
4985 -1.9970174  0.99923831 1498
4986 -1.997018  0.99923846 1498
4987 -1.9970186  0.99923862 1498
4988 -1.9970192  0.99923877 1498
4989 -1.9970198  0.99923892 1498
4990 -1.9970204  0.99923907 1498
4991 -1.997021  0.99923923 1498
4992 -1.9970216  0.99923938 1498
4993 -1.9970222  0.99923953 1498
4994 -1.9970207  0.99923916 1500
4995 -1.9970213  0.99923931 1500
4996 -1.9970219  0.99923947 1500
4997 -1.9970225  0.99923962 1500
4998 -1.9970231  0.99923977 1500
4999 -1.9970236  0.99923992 1500
5000 -1.9970242  0.99924008 1500
5001 -1.9970238  0.99923996 1502
5002 -1.9970244  0.99924011 1502
5003 -1.9970212  0.99923931 1505
5004 -1.9970178  0.99923846 1505
5005 -1.9970158  0.99923797 1506
5006 -1.9970164  0.99923813 1506
5007 -1.997017  0.99923828 1506
5008 -1.9970173  0.99923836 1507
5009 -1.9970174  0.99923839 1509
5010 -1.997014  0.99923753 1511
5011 -1.9970136  0.99923745 1512
5012 -1.9970142  0.9992376 1512
5013 -1.9970148  0.99923775 1512
5014 -1.9970154  0.99923791 1512
5015 -1.997016  0.99923806 1512
5016 -1.9970166  0.99923821 1512
5017 -1.9970134  0.99923742 1513
5018 -1.99701  0.99923657 1513
5019 -1.9970095  0.99923644 1514
5020 -1.9970101  0.9992366 1514
5021 -1.9970096  0.99923647 1515
5022 -1.9970062  0.99923563 1515
5023 -1.9970039  0.99923505 1516
5024 -1.9970045  0.99923521 1516
5025 -1.9970051  0.99923536 1516
5026 -1.9970057  0.99923551 1516
5027 -1.9970063  0.99923566 1516
5028 -1.9970069  0.99923581 1516
5029 -1.9970075  0.99923597 1516
5030 -1.9970081  0.99923612 1516
5031 -1.9970087  0.99923627 1516
5032 -1.9970093  0.99923642 1516
5033 -1.9970099  0.99923657 1516
5034 -1.9970105  0.99923673 1516
5035 -1.997011  0.99923688 1516
5036 -1.9970116  0.99923703 1516
5037 -1.9970122  0.99923718 1516
5038 -1.9970128  0.99923733 1516
5039 -1.9970134  0.99923748 1516
5040 -1.997014  0.99923763 1516
5041 -1.9970146  0.99923779 1516
5042 -1.9970125  0.99923727 1517
5043 -1.9970131  0.99923741 1518
5044 -1.9970137  0.99923756 1518
5045 -1.9970143  0.99923771 1518
5046 -1.9970149  0.99923786 1518
5047 -1.9970154  0.99923802 1518
5048 -1.997016  0.99923817 1518
5049 -1.9970166  0.99923832 1518
5050 -1.9970172  0.99923847 1518
5051 -1.9970178  0.99923862 1518
5052 -1.9970156  0.99923806 1519
5053 -1.9970122  0.99923722 1519
5054 -1.9970104  0.99923678 1520
5055 -1.997011  0.99923693 1520
5056 -1.9970116  0.99923708 1520
5057 -1.9970122  0.99923723 1520
5058 -1.9970122  0.99923724 1522
5059 -1.9970128  0.99923739 1522
5060 -1.9970134  0.99923754 1522
5061 -1.997014  0.9992377 1522
5062 -1.9970146  0.99923785 1522
5063 -1.9970152  0.999238 1522
5064 -1.9970158  0.99923815 1522
5065 -1.9970164  0.9992383 1522
5066 -1.9970169  0.99923845 1522
5067 -1.9970167  0.9992384 1523
5068 -1.9970146  0.99923786 1524
5069 -1.9970152  0.99923801 1524
5070 -1.9970157  0.99923816 1524
5071 -1.9970163  0.99923831 1524
5072 -1.9970168  0.99923843 1526
5073 -1.997015  0.99923798 1527
5074 -1.9970142  0.9992378 1530
5075 -1.9970128  0.99923744 1531
5076 -1.9970094  0.9992366 1531
5077 -1.9970061  0.99923577 1531
5078 -1.9970064  0.99923585 1532
5079 -1.997007  0.999236 1532
5080 -1.9970075  0.99923613 1533
5081 -1.9970062  0.9992358 1534
5082 -1.9970068  0.99923595 1534
5083 -1.9970073  0.9992361 1534
5084 -1.9970079  0.99923625 1534
5085 -1.9970085  0.9992364 1534
5086 -1.9970091  0.99923655 1534
5087 -1.9970057  0.99923571 1537
5088 -1.9970034  0.99923514 1538
5089 -1.997004  0.99923529 1538
5090 -1.9970046  0.99923544 1538
5091 -1.9970052  0.99923559 1538
5092 -1.9970058  0.99923574 1538
5093 -1.9970064  0.99923589 1538
5094 -1.997007  0.99923604 1538
5095 -1.9970076  0.99923619 1538
5096 -1.9970081  0.99923634 1538
5097 -1.9970082  0.99923637 1540
5098 -1.9970088  0.99923652 1540
5099 -1.9970094  0.99923667 1540
5100 -1.99701  0.99923682 1540
5101 -1.9970106  0.99923697 1540
5102 -1.9970103  0.9992369 1542
5103 -1.9970109  0.99923705 1542
5104 -1.9970115  0.9992372 1542
5105 -1.9970121  0.99923735 1542
5106 -1.9970126  0.9992375 1542
5107 -1.9970132  0.99923765 1542
5108 -1.9970138  0.9992378 1542
5109 -1.9970144  0.99923795 1542
5110 -1.997015  0.99923809 1542
5111 -1.9970118  0.9992373 1543
5112 -1.9970091  0.99923663 1544
5113 -1.9970097  0.99923678 1544
5114 -1.9970103  0.99923693 1544
5115 -1.9970109  0.99923708 1544
5116 -1.9970113  0.9992372 1546
5117 -1.9970119  0.99923735 1546
5118 -1.9970098  0.99923681 1547
5119 -1.9970066  0.99923603 1548
5120 -1.9970072  0.99923618 1548
5121 -1.9970078  0.99923633 1548
5122 -1.9970084  0.99923648 1548
5123 -1.9970088  0.99923659 1549
5124 -1.9970068  0.9992361 1550
5125 -1.9970074  0.99923625 1550
5126 -1.997008  0.9992364 1550
5127 -1.9970086  0.99923654 1550
5128 -1.9970092  0.99923669 1550
5129 -1.9970097  0.99923684 1550
5130 -1.9970077  0.99923635 1551
5131 -1.9970044  0.99923552 1551
5132 -1.9970011  0.99923469 1551
5133 -1.9969978  0.99923387 1551
5134 -1.9969954  0.99923327 1552
5135 -1.996996  0.99923342 1552
5136 -1.9969966  0.99923357 1552
5137 -1.9969959  0.9992334 1554
5138 -1.9969965  0.99923355 1554
5139 -1.996997  0.9992337 1554
5140 -1.9969952  0.99923323 1555
5141 -1.9969944  0.99923305 1556
5142 -1.996995  0.9992332 1556
5143 -1.9969956  0.99923335 1556
5144 -1.9969962  0.9992335 1556
5145 -1.9969968  0.99923365 1556
5146 -1.9969974  0.9992338 1556
5147 -1.9969979  0.99923394 1556
5148 -1.9969985  0.99923409 1556
5149 -1.9969991  0.99923424 1556
5150 -1.9969997  0.99923439 1556
5151 -1.9970003  0.99923454 1556
5152 -1.9969986  0.99923413 1557
5153 -1.9969966  0.99923362 1558
5154 -1.9969972  0.99923377 1558
5155 -1.9969977  0.99923392 1558
5156 -1.9969983  0.99923407 1558
5157 -1.9969989  0.99923422 1558
5158 -1.9969995  0.99923436 1558
5159 -1.9970001  0.99923451 1558
5160 -1.9970006  0.99923466 1558
5161 -1.9970012  0.99923481 1558
5162 -1.9970018  0.99923496 1558
5163 -1.9970024  0.99923511 1558
5164 -1.9970015  0.99923489 1559
5165 -1.9969982  0.99923407 1559
5166 -1.9969983  0.99923408 1560
5167 -1.9969988  0.99923423 1560
5168 -1.9969973  0.99923385 1561
5169 -1.9969944  0.99923312 1562
5170 -1.996995  0.99923327 1562
5171 -1.9969955  0.99923342 1562
5172 -1.9969961  0.99923357 1562
5173 -1.9969967  0.99923371 1562
5174 -1.9969973  0.99923386 1562
5175 -1.996997  0.99923379 1563
5176 -1.9969943  0.99923313 1564
5177 -1.9969949  0.99923328 1564
5178 -1.9969955  0.99923343 1564
5179 -1.9969961  0.99923358 1564
5180 -1.9969967  0.99923372 1564
5181 -1.9969972  0.99923386 1565
5182 -1.9969939  0.99923304 1565
5183 -1.996992  0.99923256 1568
5184 -1.9969925  0.99923271 1568
5185 -1.9969931  0.99923285 1568
5186 -1.9969899  0.99923206 1569
5187 -1.9969892  0.99923189 1570
5188 -1.9969898  0.99923203 1570
5189 -1.9969904  0.99923218 1570
5190 -1.9969895  0.99923197 1571
5191 -1.9969863  0.99923115 1571
5192 -1.9969861  0.99923111 1572
5193 -1.9969866  0.99923126 1572
5194 -1.9969872  0.99923141 1572
5195 -1.9969878  0.99923155 1572
5196 -1.9969884  0.9992317 1572
5197 -1.996989  0.99923185 1572
5198 -1.9969895  0.999232 1572
5199 -1.9969888  0.99923181 1573
5200 -1.9969879  0.9992316 1574
5201 -1.9969859  0.99923111 1575
5202 -1.9969827  0.9992303 1575
5203 -1.9969794  0.99922948 1575
5204 -1.9969775  0.999229 1576
5205 -1.9969781  0.99922915 1576
5206 -1.9969771  0.99922891 1577
5207 -1.9969738  0.9992281 1577
5208 -1.9969728  0.99922783 1578
5209 -1.9969733  0.99922798 1578
5210 -1.9969739  0.99922813 1578
5211 -1.9969745  0.99922828 1578
5212 -1.9969751  0.99922843 1578
5213 -1.9969757  0.99922858 1578
5214 -1.9969748  0.99922835 1579
5215 -1.996971  0.99922742 1581
5216 -1.9969656  0.99922607 1583
5217 -1.9969638  0.99922562 1584
5218 -1.9969644  0.99922577 1584
5219 -1.996965  0.99922591 1584
5220 -1.9969655  0.99922606 1584
5221 -1.9969661  0.9992262 1586
5222 -1.9969666  0.99922635 1586
5223 -1.9969672  0.99922649 1586
5224 -1.9969672  0.9992265 1587
5225 -1.9969653  0.99922603 1588
5226 -1.9969659  0.99922617 1588
5227 -1.9969665  0.99922632 1588
5228 -1.9969671  0.99922647 1588
5229 -1.9969662  0.99922624 1589
5230 -1.9969644  0.9992258 1590
5231 -1.9969649  0.99922595 1590
5232 -1.9969621  0.99922524 1591
5233 -1.9969589  0.99922443 1591
5234 -1.9969574  0.99922406 1592
5235 -1.9969579  0.9992242 1592
5236 -1.9969549  0.99922346 1595
5237 -1.9969552  0.99922353 1596
5238 -1.9969558  0.99922368 1596
5239 -1.9969564  0.99922383 1596
5240 -1.996957  0.99922397 1596
5241 -1.9969575  0.99922412 1596
5242 -1.9969581  0.99922427 1596
5243 -1.9969587  0.99922442 1596
5244 -1.9969593  0.99922457 1596
5245 -1.9969599  0.99922471 1596
5246 -1.9969604  0.99922486 1596
5247 -1.996961  0.99922501 1596
5248 -1.9969616  0.99922516 1596
5249 -1.9969622  0.9992253 1596
5250 -1.9969627  0.99922545 1596
5251 -1.9969633  0.9992256 1596
5252 -1.9969639  0.99922575 1596
5253 -1.9969645  0.99922589 1596
5254 -1.9969651  0.99922604 1596
5255 -1.9969656  0.99922619 1596
5256 -1.9969662  0.99922634 1596
5257 -1.9969668  0.99922648 1596
5258 -1.9969674  0.99922663 1596
5259 -1.9969679  0.99922678 1596
5260 -1.9969685  0.99922692 1596
5261 -1.9969676  0.9992267 1597
5262 -1.9969673  0.99922662 1598
5263 -1.9969678  0.99922676 1598
5264 -1.9969684  0.99922691 1598
5265 -1.996969  0.99922706 1598
5266 -1.9969696  0.99922721 1598
5267 -1.9969694  0.99922717 1599
5268 -1.9969691  0.9992271 1600
5269 -1.9969697  0.99922725 1600
5270 -1.9969703  0.9992274 1600
5271 -1.9969709  0.99922754 1600
5272 -1.9969714  0.99922769 1600
5273 -1.996972  0.99922784 1600
5274 -1.9969726  0.99922798 1600
5275 -1.9969732  0.99922813 1600
5276 -1.9969733  0.99922816 1601
5277 -1.9969728  0.99922805 1602
5278 -1.9969734  0.99922819 1602
5279 -1.996974  0.99922834 1602
5280 -1.9969745  0.99922849 1602
5281 -1.9969751  0.99922863 1602
5282 -1.9969731  0.99922812 1604
5283 -1.9969736  0.99922827 1604
5284 -1.9969727  0.99922803 1605
5285 -1.9969724  0.99922797 1606
5286 -1.996973  0.99922812 1606
5287 -1.9969736  0.99922827 1606
5288 -1.9969741  0.99922841 1606
5289 -1.9969747  0.99922856 1606
5290 -1.9969753  0.9992287 1606
5291 -1.9969759  0.99922885 1606
5292 -1.9969764  0.99922899 1606
5293 -1.996977  0.99922914 1606
5294 -1.9969776  0.99922929 1606
5295 -1.9969781  0.99922943 1606
5296 -1.9969716  0.99922779 1609
5297 -1.99697  0.99922741 1612
5298 -1.9969706  0.99922755 1612
5299 -1.9969712  0.9992277 1612
5300 -1.996971  0.99922765 1613
5301 -1.9969678  0.99922686 1613
5302 -1.9969646  0.99922606 1613
5303 -1.9969614  0.99922526 1613
5304 -1.9969582  0.99922447 1613
5305 -1.9969525  0.99922292 1615
5306 -1.9969481  0.99922159 1617
5307 -1.9969449  0.9992208 1617
5308 -1.9969418  0.99922003 1618
5309 -1.9969391  0.99921935 1619
5310 -1.9969359  0.99921856 1619
5311 -1.9969327  0.99921776 1619
5312 -1.9969312  0.99921739 1620
5313 -1.9969318  0.99921754 1620
5314 -1.9969323  0.99921769 1620
5315 -1.9969329  0.99921783 1620
5316 -1.9969335  0.99921798 1620
5317 -1.9969341  0.99921813 1620
5318 -1.9969347  0.99921828 1620
5319 -1.9969352  0.99921842 1620
5320 -1.9969358  0.99921857 1620
5321 -1.9969364  0.99921872 1620
5322 -1.996937  0.99921886 1620
5323 -1.9969375  0.99921901 1620
5324 -1.9969381  0.99921916 1620
5325 -1.9969387  0.9992193 1620
5326 -1.9969393  0.99921945 1620
5327 -1.9969398  0.9992196 1620
5328 -1.9969404  0.99921974 1620
5329 -1.996941  0.99921989 1620
5330 -1.9969415  0.99922003 1622
