1 -0.4687  0.0970875 212
46573 -1.9968419  0.99892849 15075
46574 -1.9968416  0.99892844 15076
46575 -1.9968413  0.99892835 15076
46576 -1.9968412  0.99892834 15077
46577 -1.9968412  0.99892836 15077
46578 -1.9968413  0.99892838 15077
46579 -1.9968414  0.99892841 15077
46580 -1.9968414  0.99892843 15077
46581 -1.9968415  0.99892845 15077
46582 -1.9968416  0.99892848 15077
46583 -1.9968417  0.9989285 15077
46584 -1.9968417  0.99892852 15077
46585 -1.9968418  0.99892855 15077
46586 -1.9968419  0.99892857 15077
46587 -1.9968419  0.99892859 15077
46588 -1.996842  0.99892861 15077
46589 -1.9968421  0.99892864 15077
46590 -1.9968421  0.99892866 15077
46591 -1.9968422  0.99892868 15077
46592 -1.9968423  0.99892871 15077
46593 -1.9968423  0.99892873 15077
46594 -1.9968424  0.99892875 15077
46595 -1.9968425  0.99892878 15077
46596 -1.9968425  0.9989288 15077
46597 -1.9968424  0.99892878 15079
46598 -1.9968425  0.9989288 15079
46599 -1.9968426  0.99892882 15079
46600 -1.9968426  0.99892884 15079
46601 -1.9968427  0.99892887 15079
46602 -1.9968425  0.99892884 15080
46603 -1.9968426  0.99892886 15081
46604 -1.9968427  0.99892888 15081
46605 -1.9968427  0.9989289 15081
46606 -1.9968428  0.99892893 15081
46607 -1.9968428  0.99892893 15082
46608 -1.9968425  0.99892887 15083
46609 -1.9968425  0.99892888 15084
46610 -1.9968425  0.99892888 15085
46611 -1.9968426  0.9989289 15085
46612 -1.9968427  0.99892893 15085
46613 -1.9968427  0.99892895 15085
46614 -1.9968428  0.99892897 15085
46615 -1.9968429  0.998929 15085
46616 -1.9968429  0.99892902 15085
46617 -1.996843  0.99892904 15085
46618 -1.9968431  0.99892906 15085
46619 -1.9968431  0.99892909 15085
46620 -1.9968432  0.99892911 15085
46621 -1.9968433  0.99892913 15085
46622 -1.9968433  0.99892916 15085
46623 -1.9968434  0.99892918 15085
46624 -1.9968435  0.9989292 15085
46625 -1.9968435  0.99892923 15085
46626 -1.9968436  0.99892925 15085
46627 -1.9968435  0.99892923 15086
46628 -1.9968434  0.9989292 15089
46629 -1.9968434  0.99892922 15089
46630 -1.9968435  0.99892925 15089
46631 -1.9968436  0.99892927 15089
46632 -1.9968436  0.99892929 15089
46633 -1.9968437  0.99892931 15089
46634 -1.9968438  0.99892934 15089
46635 -1.9968438  0.99892936 15089
46636 -1.9968437  0.99892934 15090
46637 -1.9968433  0.99892923 15091
46638 -1.9968427  0.99892909 15092
46639 -1.9968424  0.99892903 15093
46640 -1.9968425  0.99892905 15093
46641 -1.9968425  0.99892907 15093
46642 -1.9968426  0.9989291 15093
46643 -1.9968427  0.99892912 15093
46644 -1.9968427  0.99892914 15093
46645 -1.9968428  0.99892916 15093
46646 -1.9968429  0.99892919 15093
46647 -1.9968429  0.99892921 15093
46648 -1.996843  0.99892923 15093
46649 -1.9968431  0.99892926 15093
46650 -1.9968432  0.99892928 15093
46651 -1.9968432  0.9989293 15093
46652 -1.9968433  0.99892933 15093
46653 -1.9968434  0.99892935 15093
46654 -1.9968434  0.99892937 15093
46655 -1.9968435  0.99892939 15093
46656 -1.9968436  0.99892942 15093
46657 -1.9968436  0.99892944 15093
46658 -1.9968437  0.99892946 15093
46659 -1.9968438  0.99892949 15093
46660 -1.9968438  0.99892951 15093
46661 -1.9968439  0.99892953 15093
46662 -1.996844  0.99892955 15093
46663 -1.996844  0.99892958 15093
46664 -1.9968441  0.9989296 15093
46665 -1.9968441  0.99892961 15094
46666 -1.9968438  0.99892953 15094
46667 -1.9968435  0.99892946 15095
46668 -1.9968435  0.99892948 15095
46669 -1.9968436  0.9989295 15095
46670 -1.9968437  0.99892953 15095
46671 -1.9968437  0.99892955 15095
46672 -1.9968438  0.99892957 15095
46673 -1.9968439  0.9989296 15095
46674 -1.9968438  0.9989296 15096
46675 -1.9968438  0.9989296 15097
46676 -1.9968439  0.99892962 15097
46677 -1.996844  0.99892964 15097
46678 -1.996844  0.99892967 15097
46679 -1.9968441  0.99892969 15097
46680 -1.9968442  0.99892971 15097
46681 -1.9968438  0.99892963 15100
46682 -1.9968435  0.99892955 15101
46683 -1.9968435  0.99892958 15101
46684 -1.9968436  0.9989296 15101
46685 -1.9968437  0.99892962 15101
46686 -1.9968438  0.99892965 15101
46687 -1.9968438  0.99892967 15101
46688 -1.9968437  0.99892965 15103
46689 -1.9968438  0.99892967 15103
46690 -1.9968439  0.9989297 15103
46691 -1.9968439  0.99892972 15103
46692 -1.996844  0.99892974 15103
46693 -1.9968441  0.99892977 15103
46694 -1.9968441  0.99892979 15103
46695 -1.996844  0.99892975 15106
46696 -1.9968439  0.99892975 15107
46697 -1.996844  0.99892977 15107
46698 -1.9968441  0.99892979 15107
46699 -1.9968441  0.99892982 15107
46700 -1.9968439  0.99892977 15108
46701 -1.9968436  0.99892968 15111
46702 -1.9968433  0.99892963 15112
46703 -1.9968434  0.99892965 15113
46704 -1.9968434  0.99892967 15113
46705 -1.9968435  0.99892969 15113
46706 -1.9968436  0.99892972 15113
46707 -1.9968437  0.99892974 15113
46708 -1.9968437  0.99892976 15113
46709 -1.9968438  0.99892978 15113
46710 -1.9968439  0.99892981 15113
46711 -1.9968439  0.99892983 15113
46712 -1.996844  0.99892985 15113
46713 -1.9968441  0.99892988 15113
46714 -1.9968441  0.9989299 15113
46715 -1.9968441  0.99892989 15114
46716 -1.9968439  0.99892986 15115
46717 -1.996844  0.99892988 15115
46718 -1.9968441  0.99892991 15115
46719 -1.9968441  0.99892993 15115
46720 -1.9968442  0.99892995 15115
46721 -1.9968443  0.99892998 15115
46722 -1.9968443  0.99893 15115
46723 -1.9968444  0.99893002 15115
46724 -1.9968445  0.99893004 15115
46725 -1.9968445  0.99893007 15115
46726 -1.9968446  0.99893009 15115
46727 -1.9968447  0.99893011 15115
46728 -1.9968447  0.99893014 15116
46729 -1.9968444  0.99893005 15116
46730 -1.9968441  0.99892998 15118
46731 -1.9968438  0.99892992 15119
46732 -1.9968438  0.99892994 15119
46733 -1.9968439  0.99892996 15119
46734 -1.996844  0.99892998 15119
46735 -1.996844  0.99893001 15119
46736 -1.9968441  0.99893003 15119
46737 -1.9968442  0.99893005 15119
46738 -1.9968443  0.99893008 15119
46739 -1.9968443  0.9989301 15119
46740 -1.9968444  0.99893012 15119
46741 -1.9968445  0.99893014 15119
46742 -1.9968445  0.99893017 15119
46743 -1.9968446  0.99893019 15119
46744 -1.9968446  0.99893019 15121
46745 -1.9968446  0.99893021 15121
46746 -1.9968447  0.99893023 15123
46747 -1.9968448  0.99893026 15123
46748 -1.9968448  0.99893028 15123
46749 -1.9968449  0.9989303 15123
46750 -1.996845  0.99893032 15123
46751 -1.996845  0.99893035 15123
46752 -1.996845  0.99893034 15124
46753 -1.9968445  0.99893022 15125
46754 -1.9968441  0.99893012 15126
46755 -1.9968439  0.99893008 15127
46756 -1.9968439  0.9989301 15127
46757 -1.996844  0.99893012 15127
46758 -1.9968441  0.99893015 15127
46759 -1.9968441  0.99893017 15127
46760 -1.9968442  0.99893019 15127
46761 -1.9968443  0.99893022 15127
46762 -1.9968441  0.99893018 15129
46763 -1.9968442  0.9989302 15129
46764 -1.9968442  0.99893022 15131
46765 -1.9968443  0.99893025 15131
46766 -1.9968443  0.99893027 15131
46767 -1.9968444  0.99893029 15131
46768 -1.9968445  0.99893031 15131
46769 -1.9968443  0.99893027 15132
46770 -1.9968442  0.99893026 15135
46771 -1.9968443  0.99893028 15135
46772 -1.9968444  0.9989303 15135
46773 -1.9968444  0.99893033 15135
46774 -1.9968445  0.99893035 15135
46775 -1.9968446  0.99893037 15135
46776 -1.9968446  0.99893039 15135
46777 -1.9968447  0.99893042 15135
46778 -1.9968448  0.99893044 15135
46779 -1.9968448  0.99893046 15135
46780 -1.9968449  0.99893049 15135
46781 -1.996845  0.99893051 15135
46782 -1.996845  0.99893053 15135
46783 -1.9968451  0.99893055 15135
46784 -1.9968452  0.99893058 15135
46785 -1.9968452  0.9989306 15135
46786 -1.9968453  0.99893062 15135
46787 -1.9968454  0.99893065 15135
46788 -1.9968453  0.99893063 15136
46789 -1.9968453  0.99893064 15137
46790 -1.9968454  0.99893067 15137
46791 -1.9968455  0.99893069 15137
46792 -1.9968455  0.99893071 15137
46793 -1.9968456  0.99893074 15137
46794 -1.9968457  0.99893076 15137
46795 -1.9968457  0.99893078 15137
46796 -1.9968458  0.9989308 15137
46797 -1.9968459  0.99893083 15137
46798 -1.9968459  0.99893085 15137
46799 -1.996846  0.99893087 15137
46800 -1.9968461  0.9989309 15137
46801 -1.9968458  0.99893083 15138
46802 -1.9968454  0.99893075 15139
46803 -1.9968455  0.99893077 15139
46804 -1.9968456  0.99893079 15139
46805 -1.9968456  0.99893082 15139
46806 -1.9968457  0.99893084 15139
46807 -1.9968458  0.99893086 15139
46808 -1.9968458  0.99893088 15139
46809 -1.9968459  0.99893091 15139
46810 -1.9968459  0.99893091 15140
46811 -1.9968459  0.99893092 15141
46812 -1.9968459  0.99893094 15141
46813 -1.996846  0.99893096 15141
46814 -1.9968461  0.99893099 15141
46815 -1.9968462  0.99893101 15141
46816 -1.9968462  0.99893103 15141
46817 -1.9968463  0.99893105 15141
46818 -1.9968464  0.99893108 15141
46819 -1.9968464  0.9989311 15141
46820 -1.9968465  0.99893112 15141
46821 -1.9968466  0.99893115 15141
46822 -1.9968466  0.99893117 15141
46823 -1.9968467  0.99893119 15141
46824 -1.9968468  0.99893121 15141
46825 -1.9968468  0.99893124 15141
46826 -1.9968469  0.99893126 15141
46827 -1.996847  0.99893128 15141
46828 -1.996847  0.9989313 15141
46829 -1.9968471  0.99893133 15141
46830 -1.9968472  0.99893135 15141
46831 -1.9968471  0.99893135 15143
46832 -1.9968472  0.99893137 15143
46833 -1.9968473  0.99893139 15143
46834 -1.9968469  0.9989313 15146
46835 -1.9968465  0.99893121 15149
46836 -1.9968462  0.99893112 15150
46837 -1.9968461  0.99893111 15151
46838 -1.9968462  0.99893114 15151
46839 -1.9968463  0.99893116 15151
46840 -1.9968462  0.99893114 15152
46841 -1.9968458  0.99893106 15153
46842 -1.9968456  0.99893102 15154
46843 -1.9968455  0.99893099 15155
46844 -1.9968456  0.99893101 15155
46845 -1.9968456  0.99893104 15155
46846 -1.9968457  0.99893106 15155
46847 -1.9968458  0.99893108 15155
46848 -1.9968458  0.9989311 15155
46849 -1.9968459  0.99893113 15155
46850 -1.996846  0.99893115 15155
46851 -1.996846  0.99893117 15155
46852 -1.9968461  0.99893119 15156
46853 -1.9968457  0.99893111 15156
46854 -1.9968458  0.99893113 15157
46855 -1.9968459  0.99893115 15157
46856 -1.9968459  0.99893117 15157
46857 -1.996846  0.9989312 15157
46858 -1.996846  0.99893121 15158
46859 -1.9968458  0.99893115 15159
46860 -1.9968458  0.99893117 15159
46861 -1.9968459  0.9989312 15159
46862 -1.996846  0.99893122 15159
46863 -1.996846  0.99893124 15159
46864 -1.9968461  0.99893127 15159
46865 -1.9968462  0.99893129 15159
46866 -1.9968462  0.99893131 15159
46867 -1.9968463  0.99893133 15159
46868 -1.9968464  0.99893136 15159
46869 -1.9968461  0.99893131 15160
46870 -1.9968458  0.99893122 15162
46871 -1.9968454  0.99893114 15162
46872 -1.996845  0.99893103 15164
46873 -1.9968447  0.99893095 15164
46874 -1.9968444  0.99893089 15165
46875 -1.9968443  0.99893087 15167
46876 -1.9968444  0.9989309 15167
46877 -1.9968444  0.99893092 15167
46878 -1.9968445  0.99893094 15167
46879 -1.9968439  0.99893079 15169
46880 -1.9968438  0.99893078 15171
46881 -1.9968439  0.99893081 15171
46882 -1.996844  0.99893083 15171
46883 -1.996844  0.99893085 15171
46884 -1.9968441  0.99893088 15171
46885 -1.9968442  0.9989309 15171
46886 -1.9968442  0.99893092 15171
46887 -1.9968443  0.99893094 15171
46888 -1.9968444  0.99893097 15171
46889 -1.9968444  0.99893099 15171
46890 -1.9968445  0.99893101 15171
46891 -1.9968446  0.99893104 15171
46892 -1.9968446  0.99893106 15171
46893 -1.9968447  0.99893108 15171
46894 -1.9968448  0.9989311 15171
46895 -1.9968448  0.99893113 15171
46896 -1.9968449  0.99893115 15171
46897 -1.9968448  0.99893112 15175
46898 -1.9968448  0.99893114 15175
46899 -1.9968449  0.99893116 15175
46900 -1.9968449  0.99893117 15176
46901 -1.996844  0.99893088 15182
46902 -1.9968436  0.99893077 15184
46903 -1.9968433  0.99893069 15184
46904 -1.9968431  0.99893066 15185
46905 -1.9968432  0.99893068 15185
46906 -1.9968432  0.9989307 15185
46907 -1.996843  0.99893065 15186
46908 -1.9968429  0.99893064 15187
46909 -1.996843  0.99893066 15187
46910 -1.9968431  0.99893069 15187
46911 -1.9968431  0.99893071 15187
46912 -1.9968432  0.99893073 15187
46913 -1.9968433  0.99893076 15187
46914 -1.9968433  0.99893078 15187
46915 -1.9968434  0.9989308 15187
46916 -1.9968435  0.99893082 15187
46917 -1.9968435  0.99893085 15187
46918 -1.9968436  0.99893087 15187
46919 -1.9968437  0.99893089 15187
46920 -1.9968437  0.99893091 15187
46921 -1.9968438  0.99893094 15187
46922 -1.9968439  0.99893096 15187
46923 -1.9968439  0.99893098 15187
46924 -1.996844  0.99893101 15187
46925 -1.9968441  0.99893103 15187
46926 -1.9968441  0.99893105 15187
46927 -1.9968442  0.99893107 15187
46928 -1.9968443  0.9989311 15187
46929 -1.9968443  0.99893112 15187
46930 -1.9968444  0.99893114 15187
46931 -1.9968445  0.99893117 15187
46932 -1.9968445  0.99893119 15187
46933 -1.9968446  0.99893121 15187
46934 -1.9968447  0.99893123 15187
46935 -1.9968448  0.99893126 15187
46936 -1.9968448  0.99893128 15187
46937 -1.9968449  0.9989313 15187
46938 -1.9968449  0.99893131 15189
46939 -1.996845  0.99893133 15189
46940 -1.996845  0.99893136 15189
46941 -1.9968451  0.99893138 15189
46942 -1.9968452  0.9989314 15189
46943 -1.9968452  0.99893143 15189
46944 -1.9968453  0.99893145 15189
46945 -1.9968451  0.99893142 15190
46946 -1.9968448  0.99893133 15190
46947 -1.9968446  0.9989313 15191
46948 -1.9968447  0.99893132 15191
46949 -1.9968448  0.99893135 15191
46950 -1.9968448  0.99893137 15191
46951 -1.9968445  0.99893129 15193
46952 -1.9968444  0.99893126 15195
46953 -1.9968445  0.99893128 15195
46954 -1.9968445  0.9989313 15195
46955 -1.9968446  0.99893133 15195
46956 -1.9968447  0.99893135 15195
46957 -1.9968447  0.99893137 15195
46958 -1.9968448  0.99893138 15197
46959 -1.9968448  0.99893141 15197
46960 -1.9968449  0.99893143 15197
46961 -1.996845  0.99893145 15197
46962 -1.996845  0.99893147 15197
46963 -1.9968451  0.9989315 15197
46964 -1.9968452  0.99893152 15197
46965 -1.9968452  0.99893154 15197
46966 -1.9968453  0.99893157 15197
46967 -1.9968454  0.99893159 15197
46968 -1.9968454  0.99893161 15197
46969 -1.9968455  0.99893163 15197
46970 -1.9968456  0.99893166 15197
46971 -1.9968456  0.99893168 15197
46972 -1.9968457  0.9989317 15197
46973 -1.9968458  0.99893172 15197
46974 -1.9968458  0.99893175 15197
46975 -1.9968459  0.99893177 15197
46976 -1.996846  0.99893179 15197
46977 -1.9968457  0.99893173 15198
46978 -1.9968453  0.99893165 15198
46979 -1.996845  0.99893156 15198
46980 -1.9968447  0.99893151 15199
46981 -1.9968448  0.99893153 15199
46982 -1.9968449  0.99893155 15199
46983 -1.9968449  0.99893156 15200
46984 -1.9968449  0.99893158 15201
46985 -1.996845  0.99893161 15201
46986 -1.9968451  0.99893163 15201
46987 -1.9968451  0.99893165 15201
46988 -1.9968452  0.99893167 15201
46989 -1.9968453  0.9989317 15201
46990 -1.9968453  0.99893172 15201
46991 -1.9968454  0.99893174 15202
46992 -1.9968454  0.99893174 15203
46993 -1.9968454  0.99893176 15203
46994 -1.9968455  0.99893179 15203
46995 -1.9968456  0.99893181 15203
46996 -1.9968456  0.99893183 15203
46997 -1.9968457  0.99893185 15203
46998 -1.9968458  0.99893188 15203
46999 -1.9968458  0.9989319 15203
47000 -1.9968459  0.99893192 15203
47001 -1.996846  0.99893195 15203
47002 -1.996846  0.99893197 15203
47003 -1.9968461  0.99893199 15203
47004 -1.9968462  0.99893201 15203
47005 -1.9968462  0.99893204 15203
47006 -1.9968463  0.99893206 15203
47007 -1.9968462  0.99893204 15205
47008 -1.9968463  0.99893206 15205
47009 -1.9968463  0.99893208 15205
47010 -1.9968464  0.99893211 15205
47011 -1.9968465  0.99893213 15205
47012 -1.9968465  0.99893215 15205
47013 -1.9968466  0.99893218 15205
47014 -1.9968467  0.9989322 15205
47015 -1.9968467  0.99893222 15205
47016 -1.9968468  0.99893224 15205
47017 -1.9968469  0.99893227 15205
47018 -1.9968469  0.99893229 15205
47019 -1.996847  0.99893231 15205
47020 -1.9968471  0.99893233 15205
47021 -1.9968472  0.99893236 15205
47022 -1.9968472  0.99893238 15205
47023 -1.9968473  0.9989324 15205
47024 -1.9968474  0.99893243 15205
47025 -1.9968474  0.99893245 15205
47026 -1.9968475  0.99893247 15205
47027 -1.9968476  0.99893249 15205
47028 -1.9968475  0.99893248 15206
47029 -1.9968469  0.99893235 15208
47030 -1.9968467  0.99893229 15209
47031 -1.9968467  0.99893231 15209
47032 -1.9968468  0.99893233 15209
47033 -1.9968469  0.99893236 15209
47034 -1.9968469  0.99893238 15209
47035 -1.996847  0.9989324 15209
47036 -1.9968471  0.99893242 15209
47037 -1.9968471  0.99893245 15209
47038 -1.9968472  0.99893247 15209
47039 -1.9968473  0.99893249 15209
47040 -1.9968473  0.99893251 15209
47041 -1.9968474  0.99893254 15209
47042 -1.9968475  0.99893256 15209
47043 -1.9968475  0.99893258 15209
47044 -1.9968476  0.99893261 15209
47045 -1.9968477  0.99893263 15209
47046 -1.9968477  0.99893265 15209
47047 -1.9968478  0.99893267 15209
47048 -1.9968479  0.9989327 15209
47049 -1.9968479  0.99893272 15209
47050 -1.996848  0.99893274 15209
47051 -1.9968481  0.99893276 15209
47052 -1.9968481  0.99893279 15209
47053 -1.996848  0.99893276 15210
47054 -1.9968476  0.99893268 15210
47055 -1.9968473  0.99893259 15210
47056 -1.9968469  0.99893251 15210
47057 -1.9968464  0.99893233 15211
47058 -1.9968463  0.99893231 15215
47059 -1.9968464  0.99893233 15215
47060 -1.9968464  0.99893236 15215
47061 -1.9968465  0.99893238 15215
47062 -1.9968466  0.9989324 15215
47063 -1.9968466  0.99893242 15215
47064 -1.9968467  0.99893245 15215
47065 -1.9968468  0.99893247 15215
47066 -1.9968468  0.99893249 15215
47067 -1.9968469  0.99893251 15215
47068 -1.996847  0.99893254 15215
47069 -1.996847  0.99893256 15215
47070 -1.9968471  0.99893258 15215
47071 -1.9968471  0.99893259 15217
47072 -1.9968472  0.99893261 15217
47073 -1.9968472  0.99893263 15217
47074 -1.9968473  0.99893265 15217
47075 -1.9968474  0.99893268 15217
47076 -1.9968474  0.9989327 15217
47077 -1.9968475  0.99893272 15217
47078 -1.9968476  0.99893274 15217
47079 -1.9968476  0.99893277 15217
47080 -1.9968477  0.99893279 15217
47081 -1.9968474  0.99893272 15220
47082 -1.996847  0.99893263 15220
47083 -1.9968467  0.99893255 15220
47084 -1.9968463  0.99893247 15220
47085 -1.9968462  0.99893246 15221
47086 -1.9968463  0.99893248 15221
47087 -1.9968464  0.9989325 15221
47088 -1.9968464  0.99893252 15221
47089 -1.9968465  0.99893255 15221
47090 -1.9968466  0.99893257 15221
47091 -1.9968466  0.99893259 15221
47092 -1.9968467  0.99893262 15221
47093 -1.9968468  0.99893264 15221
47094 -1.9968468  0.99893266 15221
47095 -1.9968469  0.99893268 15221
47096 -1.996847  0.99893271 15221
47097 -1.996847  0.99893273 15221
47098 -1.9968471  0.99893275 15221
47099 -1.9968472  0.99893277 15221
47100 -1.9968472  0.9989328 15221
47101 -1.9968473  0.99893282 15221
47102 -1.9968474  0.99893284 15221
47103 -1.9968474  0.99893286 15221
47104 -1.9968475  0.99893289 15221
47105 -1.9968476  0.99893291 15221
47106 -1.9968476  0.99893293 15221
47107 -1.9968477  0.99893296 15221
47108 -1.9968478  0.99893297 15223
47109 -1.9968478  0.998933 15223
47110 -1.9968475  0.99893293 15225
47111 -1.9968476  0.99893295 15225
47112 -1.9968477  0.99893297 15225
47113 -1.9968477  0.998933 15225
47114 -1.9968478  0.99893302 15225
47115 -1.9968479  0.99893304 15225
47116 -1.9968479  0.99893306 15225
47117 -1.996848  0.99893309 15225
47118 -1.9968481  0.99893311 15225
47119 -1.996848  0.99893311 15227
47120 -1.9968481  0.99893313 15227
47121 -1.9968482  0.99893315 15227
47122 -1.9968482  0.99893317 15227
47123 -1.9968483  0.9989332 15227
47124 -1.9968484  0.99893322 15227
47125 -1.9968484  0.99893324 15227
47126 -1.9968485  0.99893326 15227
47127 -1.9968486  0.99893329 15227
47128 -1.9968486  0.99893331 15227
47129 -1.9968487  0.99893333 15227
47130 -1.9968488  0.99893336 15227
47131 -1.9968488  0.99893338 15227
47132 -1.9968489  0.9989334 15227
47133 -1.996849  0.99893342 15227
47134 -1.996849  0.99893345 15227
47135 -1.9968491  0.99893347 15227
47136 -1.9968489  0.99893342 15228
47137 -1.9968481  0.99893323 15229
47138 -1.9968475  0.99893309 15232
47139 -1.9968471  0.998933 15232
47140 -1.996847  0.99893297 15233
47141 -1.9968471  0.99893299 15233
47142 -1.9968471  0.99893302 15233
47143 -1.996847  0.998933 15235
47144 -1.9968471  0.99893302 15235
47145 -1.9968472  0.99893304 15235
47146 -1.9968472  0.99893307 15235
47147 -1.9968473  0.99893309 15235
47148 -1.9968474  0.99893311 15235
47149 -1.9968474  0.99893313 15235
47150 -1.9968475  0.99893316 15235
47151 -1.9968476  0.99893318 15235
47152 -1.9968476  0.9989332 15235
47153 -1.9968477  0.99893323 15235
47154 -1.9968478  0.99893325 15235
47155 -1.9968478  0.99893327 15235
47156 -1.9968479  0.99893329 15235
47157 -1.996848  0.99893332 15235
47158 -1.996848  0.99893334 15235
47159 -1.9968481  0.99893336 15235
47160 -1.9968482  0.99893338 15235
47161 -1.9968482  0.99893341 15235
47162 -1.9968483  0.99893343 15235
47163 -1.9968484  0.99893345 15235
47164 -1.9968484  0.99893347 15235
47165 -1.9968485  0.9989335 15235
47166 -1.9968486  0.99893352 15235
47167 -1.9968486  0.99893354 15235
47168 -1.9968487  0.99893356 15235
47169 -1.9968488  0.99893359 15235
47170 -1.9968488  0.99893361 15235
47171 -1.9968489  0.99893363 15235
47172 -1.996849  0.99893366 15235
47173 -1.996849  0.99893368 15235
47174 -1.996849  0.99893367 15237
47175 -1.9968491  0.9989337 15237
47176 -1.9968491  0.99893372 15237
47177 -1.9968492  0.99893374 15237
47178 -1.9968493  0.99893376 15237
47179 -1.9968493  0.99893379 15237
47180 -1.9968494  0.99893381 15237
47181 -1.9968495  0.99893383 15237
47182 -1.9968495  0.99893386 15237
47183 -1.9968496  0.99893388 15237
47184 -1.9968497  0.9989339 15237
47185 -1.9968497  0.99893392 15237
47186 -1.9968498  0.99893395 15237
47187 -1.9968499  0.99893397 15237
47188 -1.9968499  0.99893399 15238
47189 -1.9968496  0.99893391 15238
47190 -1.9968494  0.99893388 15239
47191 -1.9968495  0.9989339 15239
47192 -1.9968496  0.99893392 15239
47193 -1.9968496  0.99893394 15239
47194 -1.9968494  0.9989339 15241
47195 -1.9968495  0.99893392 15241
47196 -1.9968496  0.99893394 15241
47197 -1.9968496  0.99893397 15241
47198 -1.9968497  0.99893399 15241
47199 -1.9968496  0.99893397 15243
47200 -1.9968497  0.998934 15243
47201 -1.9968498  0.99893402 15243
47202 -1.9968498  0.99893404 15243
47203 -1.9968499  0.99893406 15243
47204 -1.99685  0.99893409 15243
47205 -1.99685  0.99893411 15243
47206 -1.9968501  0.99893413 15243
47207 -1.9968499  0.9989341 15244
47208 -1.9968499  0.9989341 15245
47209 -1.99685  0.99893412 15245
47210 -1.99685  0.99893415 15245
47211 -1.9968501  0.99893417 15245
47212 -1.9968502  0.99893419 15245
47213 -1.9968502  0.99893421 15245
47214 -1.9968503  0.99893424 15245
47215 -1.9968504  0.99893426 15245
47216 -1.9968504  0.99893428 15245
47217 -1.9968505  0.9989343 15245
47218 -1.9968504  0.99893428 15246
47219 -1.9968497  0.99893412 15248
47220 -1.9968496  0.9989341 15249
47221 -1.9968497  0.99893412 15250
47222 -1.9968497  0.99893412 15251
47223 -1.9968497  0.99893414 15251
47224 -1.9968498  0.99893416 15251
47225 -1.9968499  0.99893419 15251
47226 -1.9968499  0.99893421 15251
47227 -1.99685  0.99893423 15251
47228 -1.99685  0.99893425 15253
47229 -1.99685  0.99893424 15255
47230 -1.99685  0.99893426 15255
47231 -1.9968501  0.99893428 15255
47232 -1.9968502  0.99893431 15255
47233 -1.9968502  0.99893433 15255
47234 -1.9968503  0.99893435 15255
47235 -1.9968504  0.99893437 15255
47236 -1.9968502  0.99893435 15256
47237 -1.9968497  0.99893423 15258
47238 -1.9968497  0.99893421 15259
47239 -1.9968497  0.99893422 15260
47240 -1.9968497  0.99893424 15261
47241 -1.9968498  0.99893426 15261
47242 -1.9968498  0.99893428 15261
47243 -1.9968499  0.99893431 15261
47244 -1.99685  0.99893433 15261
47245 -1.99685  0.99893435 15261
47246 -1.9968501  0.99893437 15261
47247 -1.9968502  0.9989344 15261
47248 -1.9968501  0.99893438 15263
47249 -1.9968502  0.9989344 15263
47250 -1.9968502  0.99893443 15263
47251 -1.9968503  0.99893445 15263
47252 -1.9968504  0.99893447 15263
47253 -1.9968504  0.99893449 15263
47254 -1.9968505  0.99893452 15263
47255 -1.9968502  0.99893446 15264
47256 -1.9968499  0.99893438 15264
47257 -1.9968497  0.99893434 15265
47258 -1.9968498  0.99893436 15265
47259 -1.9968498  0.99893438 15265
47260 -1.9968499  0.99893441 15265
47261 -1.99685  0.99893443 15265
47262 -1.99685  0.99893445 15265
47263 -1.9968501  0.99893447 15265
47264 -1.99685  0.99893445 15266
47265 -1.9968497  0.99893439 15268
47266 -1.9968495  0.99893434 15269
47267 -1.9968496  0.99893436 15269
47268 -1.9968496  0.99893439 15269
47269 -1.9968497  0.99893441 15269
47270 -1.9968498  0.99893443 15269
47271 -1.9968498  0.99893445 15269
47272 -1.9968499  0.99893448 15269
47273 -1.9968499  0.99893449 15270
47274 -1.9968496  0.99893441 15270
47275 -1.9968496  0.99893442 15271
47276 -1.9968497  0.99893445 15271
47277 -1.9968496  0.99893443 15272
47278 -1.9968492  0.99893435 15272
47279 -1.9968489  0.99893426 15272
47280 -1.9968488  0.99893424 15273
47281 -1.9968487  0.99893422 15275
47282 -1.9968487  0.99893424 15275
47283 -1.9968488  0.99893426 15275
47284 -1.9968489  0.99893429 15275
47285 -1.9968489  0.99893431 15275
47286 -1.996849  0.99893433 15275
47287 -1.9968491  0.99893435 15275
47288 -1.9968491  0.99893438 15275
47289 -1.9968492  0.9989344 15275
47290 -1.9968493  0.99893442 15275
47291 -1.9968493  0.99893444 15275
47292 -1.9968494  0.99893447 15275
47293 -1.9968495  0.99893449 15275
47294 -1.9968495  0.99893451 15275
47295 -1.9968496  0.99893453 15275
47296 -1.9968494  0.99893448 15276
47297 -1.996849  0.99893438 15278
47298 -1.9968485  0.99893425 15279
47299 -1.9968482  0.99893415 15281
47300 -1.9968482  0.99893418 15281
47301 -1.9968483  0.9989342 15281
47302 -1.9968484  0.99893422 15281
47303 -1.9968484  0.99893424 15281
47304 -1.9968485  0.99893427 15281
47305 -1.9968483  0.99893424 15283
47306 -1.9968484  0.99893426 15283
47307 -1.9968485  0.99893428 15283
47308 -1.9968485  0.9989343 15283
47309 -1.9968484  0.99893427 15284
47310 -1.9968484  0.99893428 15285
47311 -1.9968485  0.9989343 15285
47312 -1.9968485  0.99893433 15285
