1 -0.4687  0.0970875 212
683 -1.9769246  0.97582227 1651
684 -1.9769474  0.9758549 1653
685 -1.9769811  0.97589015 1653
686 -1.9770146  0.97592529 1653
687 -1.9770481  0.97596033 1653
688 -1.9770814  0.97599528 1653
689 -1.9771147  0.97603012 1653
690 -1.9771479  0.97606486 1653
691 -1.9771809  0.97609949 1653
692 -1.9772139  0.97613403 1653
693 -1.9772468  0.97616847 1653
694 -1.9772796  0.97620281 1653
695 -1.9773123  0.97623705 1653
696 -1.9773449  0.97627119 1653
697 -1.9773774  0.97630524 1653
698 -1.9774098  0.97633918 1653
699 -1.9774421  0.97637303 1653
700 -1.9774743  0.97640679 1653
701 -1.9775065  0.97644044 1653
702 -1.9775385  0.976474 1653
703 -1.9775704  0.97650747 1653
704 -1.9776023  0.97654084 1653
705 -1.9776341  0.97657411 1653
706 -1.9776658  0.97660729 1653
707 -1.9776973  0.97664038 1653
708 -1.9777288  0.97667338 1653
709 -1.9777603  0.97670628 1653
710 -1.9777916  0.97673908 1653
711 -1.9778032  0.9767669 1654
712 -1.9778269  0.97679765 1655
713 -1.977858  0.97683019 1655
714 -1.977889  0.97686264 1655
715 -1.9779084  0.97689212 1656
716 -1.9779113  0.97691741 1656
717 -1.9779142  0.97694263 1656
718 -1.9779261  0.97697002 1657
719 -1.9779568  0.97700205 1657
720 -1.9779874  0.97703399 1657
721 -1.9780179  0.97706585 1657
722 -1.9780484  0.97709761 1657
723 -1.9780686  0.97712675 1659
724 -1.9780989  0.97715834 1659
725 -1.9781291  0.97718984 1659
726 -1.9781592  0.97722126 1659
727 -1.9781892  0.9772526 1659
728 -1.9782192  0.97728384 1659
729 -1.9782491  0.977315 1659
730 -1.9782789  0.97734608 1659
731 -1.9783047  0.97737609 1660
732 -1.9783342  0.97740697 1661
733 -1.9783637  0.97743779 1661
734 -1.9783892  0.97746752 1662
735 -1.9783914  0.97749138 1662
736 -1.9784091  0.97751906 1663
737 -1.9784384  0.97754956 1663
738 -1.9784676  0.97757998 1663
739 -1.9784968  0.97761032 1663
740 -1.9785152  0.97763791 1664
741 -1.9785437  0.97766797 1665
742 -1.9785726  0.97769806 1665
743 -1.9786014  0.97772808 1665
744 -1.9786302  0.97775801 1665
745 -1.9786589  0.97778787 1665
746 -1.9786875  0.97781764 1665
747 -1.978716  0.97784734 1665
748 -1.9787445  0.97787696 1665
749 -1.9787729  0.97790649 1665
750 -1.9788012  0.97793595 1665
751 -1.9788294  0.97796533 1665
