508 -1.9974566  0.999358 122
509 -1.9974616  0.99935926 122
510 -1.9974666  0.99936051 122
511 -1.9974715  0.99936177 122
512 -1.9974765  0.99936301 122
513 -1.9974814  0.99936425 122
514 -1.9974863  0.99936549 122
515 -1.9974487  0.99935612 124
516 -1.9974112  0.99934656 128
517 -1.9974162  0.99934782 128
518 -1.9974212  0.99934908 128
519 -1.9974262  0.99935034 128
520 -1.9974312  0.99935159 128
521 -1.9974361  0.99935283 128
522 -1.997441  0.99935407 128
523 -1.9974459  0.99935531 128
524 -1.9974508  0.99935654 128
525 -1.9974556  0.99935776 128
526 -1.9974605  0.99935898 128
527 -1.9974653  0.9993602 128
528 -1.9974701  0.99936141 128
529 -1.9974749  0.99936262 128
530 -1.9974796  0.99936382 128
531 -1.9974844  0.99936502 128
532 -1.9974891  0.99936621 128
533 -1.9974938  0.9993674 128
534 -1.9974985  0.99936859 128
535 -1.9974945  0.99936759 130
536 -1.9974992  0.99936877 130
537 -1.9975038  0.99936995 130
538 -1.9975085  0.99937112 130
539 -1.9975131  0.99937229 130
540 -1.9975177  0.99937345 130
541 -1.9975223  0.99937461 130
542 -1.9975268  0.99937576 130
543 -1.9975314  0.99937691 130
544 -1.9975359  0.99937806 130
545 -1.9975405  0.9993792 130
546 -1.997545  0.99938033 130
547 -1.9975495  0.99938147 130
548 -1.9975539  0.9993826 130
549 -1.9975584  0.99938372 130
550 -1.9975628  0.99938484 130
551 -1.9975672  0.99938596 130
552 -1.9975716  0.99938707 130
553 -1.997576  0.99938818 130
554 -1.9975804  0.99938928 130
555 -1.9975848  0.99939038 130
556 -1.9975891  0.99939148 130
557 -1.9975934  0.99939257 130
558 -1.9975978  0.99939366 130
559 -1.9976018  0.99939468 131
560 -1.9975771  0.9993885 132
561 -1.9975814  0.99938959 132
562 -1.9975857  0.99939068 132
563 -1.99759  0.99939176 132
564 -1.9975942  0.99939284 132
565 -1.9975985  0.99939392 132
566 -1.9976027  0.99939499 132
567 -1.997607  0.99939605 132
568 -1.9976112  0.99939712 132
569 -1.9976154  0.99939818 132
570 -1.9976196  0.99939923 132
571 -1.9976237  0.99940028 132
572 -1.9976279  0.99940133 132
573 -1.997632  0.99940238 132
574 -1.9976361  0.99940342 132
575 -1.9976403  0.99940446 132
576 -1.9976444  0.99940549 132
577 -1.9976484  0.99940652 132
